season,zone,LST_C
Winter,Urban,33.30200000000003
Winter,Urban,33.499500000000026
Winter,Urban,33.30000000000003
Winter,Urban,32.433000000000035
Winter,Urban,32.707000000000036
Winter,Urban,32.70450000000002
Winter,Urban,28.471000000000014
Winter,Urban,29.522000000000027
Winter,Urban,30.672000000000025
Winter,Urban,31.48400000000003
Winter,Urban,32.232000000000035
Winter,Urban,32.99850000000003
Winter,Urban,33.36250000000005
Winter,Urban,33.421000000000035
Winter,Urban,33.125000000000036
Winter,Urban,33.088500000000025
Winter,Urban,33.782500000000034
Winter,Urban,34.309000000000026
Winter,Urban,29.739000000000026
Winter,Urban,31.40550000000004
Winter,Urban,32.57700000000003
Winter,Urban,33.545500000000025
Winter,Urban,34.11100000000001
Winter,Urban,34.20800000000002
Winter,Urban,33.754500000000036
Winter,Urban,33.45700000000003
Winter,Urban,33.85750000000003
Winter,Urban,34.547000000000025
Winter,Urban,29.51450000000002
Winter,Urban,30.458000000000027
Winter,Urban,31.926000000000034
Winter,Urban,33.03150000000004
Winter,Urban,33.76550000000002
Winter,Urban,34.67200000000003
Winter,Urban,35.01150000000005
Winter,Urban,33.85600000000005
Winter,Urban,33.29700000000004
Winter,Urban,33.072000000000024
Winter,Urban,30.020500000000037
Winter,Urban,31.334000000000014
Winter,Urban,34.496500000000026
Winter,Urban,35.620000000000026
Winter,Urban,36.11750000000003
Winter,Urban,35.87100000000002
Winter,Urban,35.31400000000003
Winter,Urban,34.434000000000005
Winter,Urban,33.50650000000003
Winter,Urban,32.43900000000003
Winter,Urban,29.59000000000004
Winter,Urban,30.67700000000002
Winter,Urban,31.85500000000001
Winter,Urban,33.17000000000003
Winter,Urban,34.840500000000034
Winter,Urban,35.71500000000003
Winter,Urban,35.99400000000004
Winter,Urban,35.88650000000003
Winter,Urban,35.005500000000026
Winter,Urban,34.11900000000002
Winter,Urban,33.096500000000034
Winter,Urban,29.43900000000004
Winter,Urban,30.57450000000003
Winter,Urban,31.535000000000014
Winter,Urban,32.75450000000002
Winter,Urban,33.81050000000003
Winter,Urban,34.38600000000004
Winter,Urban,34.66450000000002
Winter,Urban,35.198500000000024
Winter,Urban,35.02950000000003
Winter,Urban,34.45850000000003
Winter,Urban,34.14350000000003
Winter,Urban,28.85000000000003
Winter,Urban,31.126000000000026
Winter,Urban,31.99750000000003
Winter,Urban,32.71450000000002
Winter,Urban,33.13550000000002
Winter,Urban,33.46400000000004
Winter,Urban,33.43500000000004
Winter,Urban,33.245000000000026
Winter,Urban,32.67650000000003
Winter,Urban,33.016000000000034
Winter,Urban,29.043500000000023
